sample,rabbit_id,vaccine_status,library,dilution,fraction_surviving,percent_infectivity,R1,SRA_accession
wt-DNA-rep1,,,1,,,,BG505_wt_DNA_rep1_R1.fastq.gz,SRR7693989
wt-DNA-rep2,,,2,,,,BG505_wt_DNA_rep2_R1.fastq.gz,SRR7693998
wt-DNA-rep3,,,3,,,,BG505_wt_DNA_rep3_R1.fastq.gz,SRR7694017
mut-DNA-rep1,,,1,,,,BG505_mut_DNA_rep1_R1.fastq.gz,SRR7693986
mut-DNA-rep2,,,2,,,,BG505_mut_DNA_rep2_R1.fastq.gz,SRR7694002
mut-DNA-rep3,,,3,,,,BG505_mut_DNA_rep3_R1.fastq.gz,SRR7694021
mut-virus-rep2e,,,2e,,0.269023971,26.90239711,BG505_BG5-M2E-mock_R1.fastq.gz,SRR12431156
mut-virus-rep2e-2124-Wk0-d10,2124,pre,2e,10,0.090581387,9.058138749,BG505_BG5-M2E-2124-Wk0-d10_R1.fastq.gz,SRR12431155
mut-virus-rep2e-2124-Wk0-d30,2124,pre,2e,30,0.243551723,24.35517227,BG505_BG5-M2E-2124-Wk0-d30_R1.fastq.gz,SRR12431181
mut-virus-rep2e-2124-Wk22-d10,2124,post,2e,10,0.011684173,1.168417348,BG505_BG5-M2E-2124-Wk22-d10_R1.fastq.gz,SRR12431170
mut-virus-rep2e-2124-Wk22-d30,2124,post,2e,30,0.092672167,9.267216722,BG505_BG5-M2E-2124-Wk22-d30_R1.fastq.gz,SRR12431162
mut-virus-rep2e-2214-Wk0-d10,2214,pre,2e,10,0.090935772,9.093577157,BG505_BG5-M2E-2214-Wk0-d10_R1.fastq.gz,SRR12431161
mut-virus-rep2e-2214-Wk43-d10,2214,post,2e,10,0.040576901,4.05769008,BG505_BG5-M2E-2214-Wk43-d10_R1.fastq.gz,SRR12431160
mut-virus-rep2e-2423-Wk0-d10,2423,pre,2e,10,0.099650592,9.965059192,BG505_BG5-M2E-2423-Wk0-d10_R1.fastq.gz,SRR12431159
mut-virus-rep2e-2423-Wk18-d10,2423,post,2e,10,0.029337141,2.933714127,BG505_BG5-M2E-2423-Wk18-d10_R1.fastq.gz,SRR12431158
mut-virus-rep2e-2423-Wk18-d30,2423,post,2e,30,0.080388123,8.03881228,BG505_BG5-M2E-2423-Wk18-d30_R1.fastq.gz,SRR12431157
mut-virus-rep2e-2425-Wk0-d30,2425,pre,2e,30,0.297574777,29.75747766,BG505_BG5-M2E-2425-Wk0-d30_R1.fastq.gz,SRR12431154
mut-virus-rep2e-2425-Wk18-d30,2425,post,2e,30,0.017565461,1.75654605,BG505_BG5-M2E-2425-Wk18-d30_R1.fastq.gz,SRR12431153
mut-virus-rep2e-5724-Wk0-d30,5724,pre,2e,30,0.192259251,19.22592514,BG505_BG5-M2E-5724-Wk0-d30_R1.fastq.gz,SRR12431189
mut-virus-rep2e-5724-Wk26-d10,5724,post,2e,10,0.000218383,0.021838329,BG505_BG5-M2E-5724-Wk26-d10_R1.fastq.gz,SRR12431188
mut-virus-rep2e-5724-Wk26-d30,5724,post,2e,30,0.001877366,0.187736565,BG505_BG5-M2E-5724-Wk26-d30_R1.fastq.gz,SRR12431187
mut-virus-rep2e-5724-Wk26-d77,5724,post,2e,77,0.013022127,1.302212729,BG505_BG5-M2E-5724-Wk26-d77_R1.fastq.gz,SRR12431186
mut-virus-rep2e-5727-Wk0-d10,5727,pre,2e,10,0.089525926,8.952592639,BG505_BG5-M2E-5727-Wk0-d10_R1.fastq.gz,SRR12431185
mut-virus-rep2e-5727-Wk26-d10,5727,post,2e,10,0.028931601,2.893160073,BG505_BG5-M2E-5727-Wk26-d10_R1.fastq.gz,SRR12431184
mut-virus-rep3e-2124-Wk22-d3-75,2124,post,3e,3.75,0.000431395,0.043139515,BG505_BG5-M3E-2124-Wk22-1-3-75_R1.fastq.gz,SRR12431183
mut-virus-rep3e-2214-Wk43-d3-75,2214,post,3e,3.75,0.012108746,1.210874603,BG505_BG5-M3E-2214-Wk43-1-3-75_R1.fastq.gz,SRR12431182
mut-virus-rep3e-2214-Wk43-d5,2214,post,3e,5,0.019072083,1.907208333,BG505_BG5-M3E-2214-Wk43-1-5_R1.fastq.gz,SRR12431180
mut-virus-rep3e-2423-Wk18-d5,2423,post,3e,5,0.018708215,1.870821459,BG505_BG5-M3E-2423-Wk18-1-5_R1.fastq.gz,SRR12431179
mut-virus-rep3e-2425-Wk18-d20,2425,post,3e,20,0.007486625,0.748662451,BG505_BG5-M3E-2425-Wk18-1-20_R1.fastq.gz,SRR12431178
mut-virus-rep3e-5724-Wk26-d30,5724,post,3e,30,0.000955053,0.095505293,BG505_BG5-M3E-5724-Wk26-1-30_R1.fastq.gz,SRR12431177
mut-virus-rep3e-5727-Wk26-d3-75,5727,post,3e,3.75,0.002761676,0.276167645,BG505_BG5-M3E-5727-Wk26-1-3-75_R1.fastq.gz,SRR12431176
mut-virus-rep3e,,,,,,,BG505_BG5-M3E-mock_R1.fastq.gz,SRR12431175
mut-virus-rep1v2a-5724-Wk26-d20,5724,post,1v2a,20,0.000163432,0.016343207,BG505_BG5-M1v2A-5724-Wk26-1-20_R1.fastq.gz,SRR12431174
mut-virus-rep1v2a-5727-Wk26-d4,5727,post,1v2a,4,0.001466086,0.146608552,BG505_BG5-M1v2A-5727-Wk26-1-4_R1.fastq.gz,SRR12431173
mut-virus-rep1v2a-2124-Wk22-d5,2124,post,1v2a,5,0.000725383,0.072538305,BG505_BG5-M1v2A-2124-Wk22-1-5_R1.fastq.gz,SRR12431172
mut-virus-rep1v2a-2124-Wk22-d7-5,2124,post,1v2a,7.5,0.004091043,0.409104311,BG505_BG5-M1v2A-2124-Wk22-1-7-5_R1.fastq.gz,SRR12431171
mut-virus-rep1v2a-2214-Wk43-d2-5,2214,post,1v2a,2.5,0.001888465,0.188846464,BG505_BG5-M1v2A-2214-Wk43-1-2-5_R1.fastq.gz,SRR12431169
mut-virus-rep1v2a-2214-Wk43-d4,2214,post,1v2a,4,0.007768028,0.776802799,BG505_BG5-M1v2A-2214-Wk43-1-4_R1.fastq.gz,SRR12431168
mut-virus-rep1v2a-2214-Wk43-d6,2214,post,1v2a,6,0.015222944,1.522294429,BG505_BG5-M1v2A-2214-Wk43-1-6_R1.fastq.gz,SRR12431167
mut-virus-rep1v2a-2423-Wk18-d2-5,2423,post,1v2a,2.5,0.003153247,0.315324742,BG505_BG5-M1v2A-2423-Wk18-1-2-5_R1.fastq.gz,SRR12431166
mut-virus-rep1v2a-2423-Wk18-d3-75,2423,post,1v2a,3.75,0.003127571,0.312757062,BG505_BG5-M1v2A-2423-Wk18-1-3-75_R1.fastq.gz,SRR12431165
mut-virus-rep1v2a-2425-Wk18-d30,2425,post,1v2a,30,0.003341521,0.334152053,BG505_BG5-M1v2A-2425-Wk18-1-30_R1.fastq.gz,SRR12431164
mut-virus-rep1v2a,,,1v2a,,,,BG505_BG5-M1v2A-mock_R1.fastq.gz,SRR12431163